SJAG_03961	B6K5I7
SJAG_04656	B6K7E7
SJAG_00113	B6JXH4
SJAG_01447	B6JXY7
SJAG_04276	B6K6E6
SJAG_02702	B6K0Y4
SJAG_01968	B6JZD5
SJAG_02002	B6JZG3
SJAG_02705	B6K0Y7
SJAG_00770	B6JWJ4
SJAG_05306	B6K4L1
SJAG_03017	B6K336
SJAG_02039	B6JZJ9
SJAG_01251	B6K062
SJAG_04337	B6K6K2
SJAG_00802	B6JWM4
SJAG_04459	B6K6V9
SJAG_04692	B6K7I0
SJAG_04125	B6K600
SJAG_03014	B6K333
SJAG_03711	B6K4Z6
SJAG_00394	B6JVI3
SJAG_01784	B6JYW3
SJAG_01923	B6JZ96
SJAG_04048	B6K5S2
SJAG_01451	B6JXZ1
SJAG_01551	B6JY91
SJAG_03180	B6K3J4
SJAG_02143	B6K1N1
SJAG_03453	B6K4A0
SJAG_03115	B6K3D1
SJAG_04076	B6K5V0
